id	params
0	q=wikipedia second all&fq=description:(2007 contributions)&rows=10&start=2&sort=description_t_sort asc&json.facet={titles : {type : terms,field : title_t_sort,limit : 9,mincount : 3}}
1	q=2007 style&rows=32&start=0&json.facet={titles : {type : terms,field : title_t_sort,limit : 9,mincount : 5}}
2	q=quality state&rows=91&start=0&sort=description_t_sort desc&json.facet={titles : {type : terms,field : description_t_sort,limit : 3,mincount : 1}}
3	q=team list july other&fq=description:(category external)&rows=10&start=10&json.facet={titles : {type : terms,field : title_t_sort,limit : 5,mincount : 2}}
4	q=air defaultsort&fq=title:(school user)&rows=10&start=0&json.facet={titles : {type : terms,field : description_t_sort,limit : 4,mincount : 1}}
5	q=2009 index.php last&rows=10&start=2&sort=description_t_sort desc&json.facet={titles : {type : terms,field : description_t_sort,limit : 51,mincount : 3}}
6	q=list station which&fq=title:(new team)&rows=8&start=4&json.facet={titles : {type : terms,field : description_t_sort,limit : 3,mincount : 1}}
7	q=album time more&fq=description:(archive archive)&rows=10&start=10&json.facet={titles : {type : terms,field : description_t_sort,limit : 27,mincount : 6}}
8	q=2005 after made&fq=title:(new http)&rows=87&start=43&sort=description_t_sort desc&json.facet={titles : {type : terms,field : title_t_sort,limit : 55,mincount : 8}}
9	q=2006 some while&rows=6&start=0&sort=description_t_sort desc&json.facet={titles : {type : terms,field : title_t_sort,limit : 17,mincount : 3}}
10	q=american college game football&fq=title:(states references)&rows=10&start=0&sort=title_t_sort asc&json.facet={titles : {type : terms,field : description_t_sort,limit : 31,mincount : 4}}
11	q=class only both&rows=10&start=5&json.facet={titles : {type : terms,field : description_t_sort,limit : 10,mincount : 3}}
12	q=archives arbitration one&rows=87&start=21&sort=title_t_sort asc&json.facet={titles : {type : terms,field : description_t_sort,limit : 3,mincount : 3}}
13	q=2008 comments first&fq=description:(log please)&rows=59&start=0&sort=description_t_sort asc&json.facet={titles : {type : terms,field : title_t_sort,limit : 41,mincount : 1}}
14	q=championships position&rows=10&start=1&json.facet={titles : {type : terms,field : description_t_sort,limit : 41,mincount : 5}}
15	q=deletion laid category&rows=22&start=0&sort=description_t_sort asc&json.facet={titles : {type : terms,field : description_t_sort,limit : 15,mincount : 2}}
16	q=templates january some&rows=10&start=2&sort=title_t_sort asc&json.facet={titles : {type : terms,field : title_t_sort,limit : 40,mincount : 1}}
17	q=scran.ac.uk talk&fq=title:(archive team)&rows=48&start=0&sort=description_t_sort desc&json.facet={titles : {type : terms,field : description_t_sort,limit : 57,mincount : 3}}
18	q=military people&fq=description:(articles discussion)&rows=43&start=21&json.facet={titles : {type : terms,field : description_t_sort,limit : 69,mincount : 1}}
